"player_name","country"
"Hakeem Olajuwon","Nigeria"
"Dikembe Mutombo","Democratic Republic of the Congo"
"Rick Fox","Canada"
"Steve Nash","Canada"
"Vlade Divac","Montenegro"
"Vitaly Potapenko","Ukraine"
"Toni Kukoc","Croatia"
"Patrick Ewing","Jamaica"
"Arvydas Sabonis","Lithuania"
"Marko Milic","Slovenia"
"Tim Duncan","US Virgin Islands"
"Zydrunas Ilgauskas","Lithuania"
"Vlade Divac","Serbia"
"Tariq Abdul-Wahad","France"
"Adonal Foyle","St. Vincent & Grenadines"
"Dirk Nowitzki","Germany"
"Dikembe Mutombo","Republic of the Congo"
"Felipe Lopez","Dominican Republic"
"Bruno Sundov","Croatia"
"Sean Marks","New Zealand"
"Peja Stojakovic","Serbia"
"Rasho Nesterovic","Slovenia"
"Vladimir Stepania","Georgia"
"Michael Olowokandi","Nigeria"
"Obinna Ekezie","Nigeria"
"Milt Palacio","Belize"
"John Amaechi","England"
"Todd MacCulloch","Canada"
"Peja Stojakovic","Montenegro"
"Jerome Moiso","France"
"Hedo Turkoglu","Turkey"
"Jamaal Magloire","Canada"
"Jake Tsakalidis","Greece"
"Hanno Mottola","Finland"
"Olumide Oyedeji","Nigeria"
"Mamadou N'diaye","Senegal"
"Eduardo Najera","Mexico"
"Dalibor Bagaric","Croatia"
"Daniel Santiago","Puerto Rico"
"Wang Zhi-zhi","China"
"Ruben Wolkowyski","Argentina"
"Slava Medvedenko","Ukraine"
"Pepe Sanchez","Argentina"
"Soumaila Samake","Mali"
"Raja Bell","US Virgin Islands"
"Ratko Varda","Croatia"
"Predrag Drobnjak","Slovenia"
"Primoz Brezec","Slovenia"
"Pau Gasol","Spain"
"Mengke Bateer","China"
"Oscar Torres","Venezuela"
"Tony Parker","France"
"Zeljko Rebraca","Montenegro"
"Vladimir Radmanovic","Serbia"
"Samuel Dalembert","Haiti"
"Carlos Arroyo","Puerto Rico"
"DeSagana Diop","Senegal"
"Andrei Kirilenko","Russia"
"Antonis Fotsis","Greece"
"Predrag Savovic","Bosnia and Herzegovina"
"Predrag Drobnjak","Croatia"
"Mehmet Okur","Turkey"
"Marko Jaric","Serbia"
"Nene","Brazil"
"Nikoloz Tskitishvili","Georgia"
"Pat Burke","Ireland"
"Manu Ginobili","Argentina"
"Robert Archibald","Scotland"
"Yao Ming","China"
"Cezary Trybanski","Poland"
"Dan Gadzuric","Netherlands"
"Bostjan Nachbar","Slovenia"
"Igor Rakocevic","Serbia"
"Jiri Welsch","Czech Republic"
"Gordan Giricek","Croatia"
"Efthimios Rentzias","Greece"
"Darko Milicic","Serbia"
"Darius Songaila","Lithuania"
"Boris Diaw","France"
"Francisco Elson","Netherlands"
"Sasha Pavlovic","Montenegro"
"Raul Lopez","Spain"
"Zarko Cabarkapa","Montenegro"
"Zaza Pachulia","Georgia"
"Zeljko Rebraca","Bosnia and Herzegovina"
"Zoran Planinic","Croatia"
"Maciej Lampe","Poland"
"Leandro Barbosa","Brazil"
"Predrag Drobnjak","Serbia"
"Mickael Pietrus","France"
"Mario Kasun","Croatia"
"Pape Sow","Senegal"
"Nenad Krstic","Serbia"
"Luol Deng","England"
"Pavel Podkolzin","Russia"
"Peter John Ramos","Puerto Rico"
"Zeljko Rebraca","Serbia"
"Viktor Khryapa","Russia"
"Rafael Araujo","Brazil"
"Sasha Vujacic","Slovenia"
"Carlos Delfino","Argentina"
"DJ Mbenga","Democratic Republic of the Congo"
"Andris Biedrins","Latvia"
"Andres Nocioni","Argentina"
"Anderson Varejao","Brazil"
"Beno Udrih","Slovenia"
"Ha Ha","South Korea"
"Sarunas Jasikevicius","Russia"
"Ronny Turiaf","France"
"Sergei Monia","Russia"
"Yaroslav Korolev","Russia"
"Zarko Cabarkapa","Serbia"
"Zeljko Rebraca","Croatia"
"Johan Petro","France"
"Linas Kleiza","Lithuania"
"Martynas Andriuskevicius","Lithuania"
"Jose Calderon","Spain"
